Course Code,Course Name,Department,Professor,Course Ratings,Quarter,Year,Grade,Review Date,Review Text,Review Upvote,Review Downvote,Review Sentiment Label,Review Sentiment Score
STATS 21,Python and Other Technologies for Data Science,Statistics,Miles Satori Chen,"{'Overall': 4.8, 'Users': 8.0, 'Easiness': 4.4, 'Clarity': 4.9, 'Workload': 4.6, 'Helpfulness': 4.8}",Winter,2022,B+,03/11/2022,"** The quarter I took this class was partially online due to Covid reasons, your experience may be different**--Overall, Miles Chen is a pretty good, clear lecturer. This class as a whole is also just about a useful topic in general too, and what you learn here should help jumpstart your knowledge toward data analyst and data science positions, so overall I think it's a good class to take. Note, however, that because there are pre-requisite Stats courses before this one, there's much less guidance compared to, say, Stats 20 (at least this was my experience). As someone who wasn't a very experienced programmer compared to some of my peers, I think I struggled a bit more than I'd like to admit during my time in this class.--The grading scheme was as follows:15% Lecture Viewing Quizzes20% Datacamp Homework36% Homework25% Final4% Campuswire Participation--Viewing quizzes, Datacamp, and Campuswire were basically free points, please do NOT forget about and waste them! Lecture-viewing quizzes weren't class content related, they were random letters, so if you're a data science expert you can't just skirt the quizzes. Datacamp was based on completion and was easy because there are tutorials on there, and Campuswire you just needed to get 150 points, plus an opportunity for extra credit if you went further (I think to 200?). Also, the premium subscription to Datacamp that you get for this class is valid for 6 months, so you can basically keep using it the quarter after you take this class which is excellent.--I mentioned before that you have to be more proactive and independent in this class compared to your other Stats lower divs and I think the homework reflects this. The first assignment was pretty straightforward and then it got more challenging from there. Not everything was straightforward and you sometimes had to think beyond the lecture examples, which admittedly are pretty clear but don't always directly relate to the homework. That said, reading the documentation online for the different libraries/data science technologies you're using is pretty helpful as is talking things out with peers. I didn't go to office hours too often but both Professor Chen and my TA Lucy seemed quite approachable and helpful so I'm sure that's a good way to go. Also, there were a lot of issues happening on campus the quarter this class happened that caused people mental distress, so Professor Chen was kind enough to give an extension on homework to everyone at that time.--The final was absurdly challenging and after talking with peers afterward, I don't think I was alone in not having completed the whole exam. The topics that appeared were also not what I expected; for example, there was a much bigger focus than I expected there to be on object-oriented programming. Personally, I think the final was the worst part of this class. That said, Professor Chen was pretty understanding and adjusted the grading upward on the final.--Overall I'd take this class again with Professor Chen, and would recommend you to take it as well.",1,0,POSITIVE,0.9886866807937622
STATS 21,Python and Other Technologies for Data Science,Statistics,Miles Satori Chen,"{'Overall': 4.8, 'Users': 8.0, 'Easiness': 4.4, 'Clarity': 4.9, 'Workload': 4.6, 'Helpfulness': 4.8}",Fall,2022,NR,12/07/2022,The best Stats professor at UCLA.,0,0,POSITIVE,0.9998061060905457
STATS 21,Python and Other Technologies for Data Science,Statistics,Miles Satori Chen,"{'Overall': 4.8, 'Users': 8.0, 'Easiness': 4.4, 'Clarity': 4.9, 'Workload': 4.6, 'Helpfulness': 4.8}",Fall,2022,,12/03/2022,Legend. Best Professor I had so far.,0,0,POSITIVE,0.9998027682304382
STATS 21,Python and Other Technologies for Data Science,Statistics,Miles Satori Chen,"{'Overall': 4.8, 'Users': 8.0, 'Easiness': 4.4, 'Clarity': 4.9, 'Workload': 4.6, 'Helpfulness': 4.8}",Winter,2022,A,03/28/2022,"Miles is one of the best professors at UCLA. This class was extremely useful and very manageable. He is a very engaging lecturer who cares deeply about his students. The finals are a bit rough, but he curves and adjusts grades so that it doesn't really matter in the end. 10/10 would recommend. Take this class, you will not regret it!",0,0,POSITIVE,0.9994472861289978
STATS 21,Python and Other Technologies for Data Science,Statistics,Miles Satori Chen,"{'Overall': 4.8, 'Users': 8.0, 'Easiness': 4.4, 'Clarity': 4.9, 'Workload': 4.6, 'Helpfulness': 4.8}",Winter,2022,A,03/27/2022,"Miles is a great lecturer. I think the course is a jump from 20, where there was a lot of hand holding. Now it is expected you use all your resources, including the internet. Be prepared for individual learning too (not all the answers are in the notes). Miles is helpful in OH and on Campuswire too. Great class!",0,0,POSITIVE,0.9979779124259949
STATS 88S,Shaping the Future: Machine Learning and Data Science,Statistics,Vivian Lew,"{'Overall': 5.0, 'Users': 1.0, 'Easiness': 5.0, 'Clarity': 4.0, 'Workload': 4.0, 'Helpfulness': 4.0}",Spring,2017,P,06/17/2018,"Professor Lew  didn't teach this class. An undergrad did, Connor Hennen. I think she was his advisor or something. But it was a cool class. Nice guy, tried hard to introduce us to the data science world in an exciting way. Don't know if it'll be offered regularly, but I'd recommend it.",0,0,POSITIVE,0.9996970891952515
STATS 140SL,Practice of Statistical Consulting,Statistics,Dave Zes,"{'Overall': 5.0, 'Users': 1.0, 'Easiness': 5.0, 'Clarity': 5.0, 'Workload': 5.0, 'Helpfulness': 5.0}",Fall,2022,A+,12/07/2022,"Dave is an incredibly likable professor and very kind to his students. It is difficult to not get full credit for assignments, just put in a little bit of honest effort and you'll get full credit. You rotate around random groups throughout the quarter until the last few weeks where you work solely with your final group. We were supposed to have a midterm but he canceled it, we were also supposed to have a pop reading quiz but he canceled that too. The final project consists of choosing a dataset to analyze and present on. The presentation doesn't have to be perfect, just show up to class and don't go over your allotted time. My only criticism is that he could've given a little bit more guidance on what he wanted in the final report. That being said we still got 100% on our presentation and report despite some feedback from him on what we did wrong. Although you get an in progress grade for this class at the end because you don't get a grade until you finish 141XP, I got 100% on everything in this class. It seemed like he was giving extra credit to those who would speak up at the beginning of the quarter, and if that's true I'll end up with over 100%. WOULD HIGHLY RECOMMEND THIS PROFESOR.",1,0,POSITIVE,0.9978575110435486
STATS 140SL,Practice of Statistical Consulting,Statistics,Vivian Lew,"{'Overall': 4.7, 'Users': 6.0, 'Easiness': 4.5, 'Clarity': 4.8, 'Workload': 4.2, 'Helpfulness': 5.0}",Fall,2018,A-,06/15/2019,"Best professor in the stats department! Professsor Lew is very helpful both inside and outside the academia.Also, she has cool stuff in her office!",0,0,POSITIVE,0.9998088479042053
STATS 140SL,Practice of Statistical Consulting,Statistics,Vivian Lew,"{'Overall': 4.7, 'Users': 6.0, 'Easiness': 4.5, 'Clarity': 4.8, 'Workload': 4.2, 'Helpfulness': 5.0}",Fall,2017,A,06/17/2018,"If you don't have the opportunity to take a course with Professor Lew, well, that's just extremely unfortunate. Must take her as much as possible for any course.",1,0,NEGATIVE,0.9990864992141724
STATS 199,Directed Research in Statistics,Statistics,Susan Cochran,"{'Overall': nan, 'Users': nan, 'Easiness': nan, 'Clarity': nan, 'Workload': nan, 'Helpfulness': nan}",,,,,,,,,
STATS 199,Directed Research in Statistics,Statistics,Akram M Almohalwas,"{'Overall': nan, 'Users': nan, 'Easiness': nan, 'Clarity': nan, 'Workload': nan, 'Helpfulness': nan}",,,,,,,,,
STATS 199,Directed Research in Statistics,Statistics,Frederick Paik Schoenberg,"{'Overall': nan, 'Users': nan, 'Easiness': nan, 'Clarity': nan, 'Workload': nan, 'Helpfulness': nan}",,,,,,,,,
STATS 199,Directed Research in Statistics,Statistics,Tao Gao,"{'Overall': nan, 'Users': nan, 'Easiness': nan, 'Clarity': nan, 'Workload': nan, 'Helpfulness': nan}",,,,,,,,,
STATS 199,Directed Research in Statistics,Statistics,Nicolas Christou,"{'Overall': nan, 'Users': nan, 'Easiness': nan, 'Clarity': nan, 'Workload': nan, 'Helpfulness': nan}",,,,,,,,,
STATS 199,Directed Research in Statistics,Statistics,Maria Cha,"{'Overall': nan, 'Users': nan, 'Easiness': nan, 'Clarity': nan, 'Workload': nan, 'Helpfulness': nan}",,,,,,,,,
STATS 199,Directed Research in Statistics,Statistics,Robert L Gould,"{'Overall': nan, 'Users': nan, 'Easiness': nan, 'Clarity': nan, 'Workload': nan, 'Helpfulness': nan}",,,,,,,,,
STATS 199,Directed Research in Statistics,Statistics,Vivian Lew,"{'Overall': nan, 'Users': nan, 'Easiness': nan, 'Clarity': nan, 'Workload': nan, 'Helpfulness': nan}",,,,,,,,,
STATS 199,Directed Research in Statistics,Statistics,Mahtash M Esfandiari,"{'Overall': nan, 'Users': nan, 'Easiness': nan, 'Clarity': nan, 'Workload': nan, 'Helpfulness': nan}",,,,,,,,,
STATS 199,Directed Research in Statistics,Statistics,Miles Satori Chen,"{'Overall': nan, 'Users': nan, 'Easiness': nan, 'Clarity': nan, 'Workload': nan, 'Helpfulness': nan}",,,,,,,,,
STATS 199,Directed Research in Statistics,Statistics,Juana Sanchez,"{'Overall': nan, 'Users': nan, 'Easiness': nan, 'Clarity': nan, 'Workload': nan, 'Helpfulness': nan}",,,,,,,,,
STATS 199,Directed Research in Statistics,Statistics,Michael Tsiang,"{'Overall': 5.0, 'Users': 1.0, 'Easiness': 4.0, 'Clarity': 5.0, 'Workload': 4.0, 'Helpfulness': 5.0}",Winter,2021,A+,03/29/2021,"Note: This review is for Winter 2021, a quarter conducted remotely for this class.I took STATS 199 with Professor Tsiang because I enjoyed his STATS 20 class and him as a professor and person. He let me take the lead for my directed research--I did mine on fantasy football analysis (in fact, he didn't know much about the topic, just the analysis I was performing). In terms of what is required, the only thing I had to submit was a final research paper.Professor Tsiang allowed me to meet with him on my schedule. I could meet as often (or as little) as I needed, and he helped me with a few questions I had about the process. I met on a weekly basis (for the most part) to give him updates throughout the quarter.TL;DR: Professor Tsiang let me run the course; he served as a mentor as I worked on my research. Ultimately, this course is about the student more so than the professor.",0,0,POSITIVE,0.9295079708099365
STATS 199,Directed Research in Statistics,Statistics,Linda Zanontian,"{'Overall': nan, 'Users': nan, 'Easiness': nan, 'Clarity': nan, 'Workload': nan, 'Helpfulness': nan}",,,,,,,,,
STATS 102B,Introduction to Computation and Optimization for Statistics,Statistics,Miles Satori Chen,"{'Overall': 5.0, 'Users': 6.0, 'Easiness': 3.8, 'Clarity': 5.0, 'Workload': 3.7, 'Helpfulness': 5.0}",Spring,2022,A,06/12/2022,"Miles is great! You learn how to use and implement a lot of machine learning algorithms.Grading is as follows:6 HW's each worth 6%: 36%2 Midterms each worth 15%: 30%Attendance Quiz (can watch video too): 10%Campuswire 4%Final: 20%The HWs are not too difficult, as he provides example code that is similar to HW assignments for most of the problems.The midterms and final are relatively easy, with the conceptual questions being the hardest part, though you can completely bomb that part of them and still easily get an A.Overall, a great class.",0,0,POSITIVE,0.9979004859924316
STATS 102B,Introduction to Computation and Optimization for Statistics,Statistics,Miles Satori Chen,"{'Overall': 5.0, 'Users': 6.0, 'Easiness': 3.8, 'Clarity': 5.0, 'Workload': 3.7, 'Helpfulness': 5.0}",Spring,2021,A+,06/22/2021,"After taking STATS 102A with Professor Chen, I was excited to have him again for STATS 102B, and he did not disappoint. While STATS 102A had a heavy coding emphasis, this class focused more on algorithms and the math behind said algorithms. For the midterms--particularly the second one--I was pressed for time, but that was the only uncomfortable part of the course. Having taking STATS 101C prior to this class, it was an enjoyable experience; 101C and 102B have quite a bit of overlap. In fact, I would term 102B as ""coding 101C,"" which I enjoyed because it allowed me to better understand how these algorithms actually work rather than simply filling out a template with defaults. STATS 102B is one of the more important classes in the stats major, and Professor Chen made it a great experience.",0,0,POSITIVE,0.9895325899124146
STATS 102B,Introduction to Computation and Optimization for Statistics,Statistics,Miles Satori Chen,"{'Overall': 5.0, 'Users': 6.0, 'Easiness': 3.8, 'Clarity': 5.0, 'Workload': 3.7, 'Helpfulness': 5.0}",Spring,2021,NR,06/11/2021,"Participation on Campuswire is crucial so that you get full credit on that part of your grade. No homeworks are dropped, but they aren't too difficult either. Exams demand speed and thus decent familiarity with the material. Make good use of his study guides and thoroughly review his slides. He does not curve, so do study hard. Tip: You might want to take notes during lectures, especially on discussions/explanations that are not on slides. This may help you streamline exams even faster. Professor Chen is extremely caring and kind. He's willing to share his views on career planning, grad school and life philosophy. He loves teaching and explains stuffs well. His lecture slides are logically organized, easy to read and informative. Great instructor and awesome person.",0,0,NEGATIVE,0.7056080102920532
STATS 102B,Introduction to Computation and Optimization for Statistics,Statistics,Juana Sanchez,"{'Overall': 1.0, 'Users': 1.0, 'Easiness': 1.0, 'Clarity': 1.0, 'Workload': 1.0, 'Helpfulness': 1.0}",Spring,2020,P,04/13/2020,"I don't say this lightly. She is by far the worst teacher of knowledge I've ever witnessed in my entire life, perhaps throughout the entire existence of human history. She is, without a doubt, 95% of the reason for my crippling depression. The other 5% is the death of my dog. You heard it right folks, she makes me 19 times more depressed than the death of my dog. Her homework ruins my days, make me fall into an existential crisis and makes me cry. I truly cannot tell you this feeling of dread I experience thinking about her class, it's a feeling I hope none of you reading this will ever need to experience.",3,0,NEGATIVE,0.9994267225265503
STATS C173,Applied Geostatistics,Statistics,Nicolas Christou,"{'Overall': 5.0, 'Users': 3.0, 'Easiness': 2.0, 'Clarity': 5.0, 'Workload': 2.7, 'Helpfulness': 5.0}",Spring,2018,A,03/31/2018,"This is an extremely interesting class and professor Christou does an amazing job of teaching it. Knowing what to do with spatial data is an increasingly important skill, and in this class you'll learn how to analyze if there are trends in spatial data, make predictions, create heat maps, contour maps, etc. Dr. Christou is one of the best instructors in the department and you will walk away with rigorous and practical knowledge.",0,0,POSITIVE,0.9996885061264038
